query_id,query,target_ticker,target_sector,target_periodo,n_retrieved,n_relevant_total_grade3,mrr,precision@5,recall@5,f1@5,ndcg@5,precision@10,recall@10,f1@10,ndcg@10
q016,Explícame la relación entre el auge de la inteligencia artificial generativa y el comportamiento de el NASDAQ 100 y las tecnológicas.,^NDX,NASDAQ 100,subidas auge ia generativa,10,214,1.0,0.8,0.018691588785046728,0.0365296803652968,0.7860137352654726,0.8,0.037383177570093455,0.07142857142857142,0.8995710933840294
q017,¿Cómo afectó la recuperación del NASDAQ tras la crisis puntocom a el NASDAQ 100 y las tecnológicas?,^NDX,NASDAQ 100,subidas recuperacion post dotcom,10,53,0.25,0.2,0.018867924528301886,0.034482758620689655,0.9174524878648389,0.1,0.018867924528301886,0.031746031746031744,0.9360808377536656
q018,¿Qué impacto tuvo el rally de las tecnológicas durante la pandemia sobre el NASDAQ 100 y las tecnológicas?,^NDX,NASDAQ 100,subidas tech rally covid,10,159,0.2,0.2,0.006289308176100629,0.012195121951219513,0.66711117754159,0.2,0.012578616352201259,0.02366863905325444,0.8036252056024655
q019,¿Cuál fue la reacción de el S&P 500 ante el crash bursátil de marzo de 2020 por el COVID-19?,^GSPC,S&P 500,caidas COVID-19,10,204,0.5,0.2,0.004901960784313725,0.009569377990430622,0.7058547796748326,0.3,0.014705882352941176,0.028037383177570093,0.8707431649720337
q020,Explícame la relación entre la crisis financiera de 2008 y el colapso de Lehman Brothers y el comportamiento de el S&P 500.,^GSPC,S&P 500,caidas crisis financiera,10,135,0.16666666666666666,0.0,0.0,0.0,0.6099914003164064,0.3,0.022222222222222223,0.04137931034482759,0.8449701539047747
q021,¿Cómo afectó el shock inflacionario combinado con la invasión de Ucrania a el S&P 500?,^GSPC,S&P 500,caidas inflacion+Ucrania,10,70,1.0,0.6,0.04285714285714286,0.08,0.6992148198508502,0.6,0.08571428571428572,0.15,0.9102003174374961
q022,¿Qué impacto tuvo la consolidación del mercado tras la recuperación del COVID-19 sobre el S&P 500?,^GSPC,S&P 500,lateral consolidacion post-COVID,10,148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
q023,¿Cuál fue la reacción de el S&P 500 ante el contagio de la crisis de deuda europea al mercado estadounidense?,^GSPC,S&P 500,lateral deuda europea,10,144,0.25,0.4,0.013888888888888888,0.026845637583892617,0.3191471544989228,0.4,0.027777777777777776,0.051948051948051945,0.5621189791785585
q024,Explícame la relación entre la espera de decisiones de tipos de la Reserva Federal y el comportamiento de el S&P 500.,^GSPC,S&P 500,lateral espera de FED,10,123,1.0,0.6,0.024390243902439025,0.046875,0.8721445442095549,0.5,0.04065040650406504,0.07518796992481203,0.956830062193111
q025,¿Cómo afectó la desinflación combinada con el boom de la inteligencia artificial a el S&P 500?,^GSPC,S&P 500,subidas desinflacion + boom IA,10,213,1.0,0.2,0.004694835680751174,0.009174311926605505,0.4266302569485107,0.5,0.023474178403755867,0.04484304932735426,0.804768717476001
q026,¿Qué impacto tuvo los estímulos fiscales y monetarios aprobados por el COVID-19 sobre el S&P 500?,^GSPC,S&P 500,subidas estimulos COVID-19,10,172,1.0,1.0,0.029069767441860465,0.05649717514124294,1.0,0.9,0.05232558139534884,0.09890109890109891,0.9895948844467957
q027,¿Cuál fue la reacción de el S&P 500 ante la recuperación global tras la crisis financiera de 2008?,^GSPC,S&P 500,subidas post-crisis global,10,169,1.0,0.4,0.011834319526627219,0.022988505747126436,0.6807975844389677,0.5,0.029585798816568046,0.05586592178770949,0.8904847192455551
q028,Explícame la relación entre la crisis financiera de 2008 y su impacto en el gasto público y el comportamiento de el sector de defensa.,ITA,Sector Defensa,caidas crisis financiera,10,94,1.0,0.2,0.010638297872340425,0.020202020202020204,1.0,0.1,0.010638297872340425,0.01923076923076923,0.9940720195765878
q029,¿Cómo afectó el riesgo fiscal y el techo de deuda de EE.UU. a el sector de defensa?,ITA,Sector Defensa,caidas riesgo fiscal eeuu,10,115,1.0,0.2,0.008695652173913044,0.016666666666666666,1.0,0.1,0.008695652173913044,0.016,1.0
q030,¿Qué impacto tuvo la rotación sectorial tras el COVID-19 sobre el sector de defensa?,ITA,Sector Defensa,caidas rotacion post-covid,10,122,1.0,0.4,0.01639344262295082,0.031496062992125984,0.9377168077248123,0.3,0.02459016393442623,0.045454545454545456,0.9773019553829368
q031,¿Cuál fue la reacción de el sector de defensa ante la consolidación tras el rally del sector defensa?,ITA,Sector Defensa,lateralizacion consolidacion post-rally,10,219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
q032,Explícame la relación entre la estabilidad de los presupuestos de defensa y el comportamiento de el sector de defensa.,ITA,Sector Defensa,lateralizacion estabilidad presupuestaria,10,154,1.0,0.2,0.006493506493506494,0.012578616352201259,0.9161872351436834,0.2,0.012987012987012988,0.024390243902439025,0.9722340851332469
q033,¿Cómo afectó la ausencia de conflictos militares mayores a el sector de defensa?,ITA,Sector Defensa,lateralizacion sin conflictos mayores,10,174,1.0,0.2,0.005747126436781609,0.0111731843575419,0.8591241694171567,0.3,0.017241379310344827,0.03260869565217392,0.9570217987137698
q034,¿Qué impacto tuvo la guerra de Irak sobre el sector de defensa?,ITA,Sector Defensa,subidas guerra irak,10,46,1.0,0.4,0.043478260869565216,0.0784313725490196,0.8899717613116096,0.4,0.08695652173913043,0.14285714285714285,0.9754990743668628
q035,¿Cuál fue la reacción de el sector de defensa ante la invasión rusa de Ucrania?,ITA,Sector Defensa,subidas guerra ucrania,10,109,1.0,0.8,0.03669724770642202,0.07017543859649122,0.8539316501572936,0.7,0.06422018348623854,0.11764705882352941,0.9560577339551956
q036,Explícame la relación entre las tensiones militares en Oriente Medio y el comportamiento de el sector de defensa.,ITA,Sector Defensa,subidas oriente medio,10,246,1.0,0.8,0.016260162601626018,0.03187250996015937,0.9513105500524313,0.8,0.032520325203252036,0.06250000000000001,0.9867167351981658
q037,¿Cómo afectó el colapso del precio del petróleo a el sector energético?,XLE,Sector Energía,caidas colapso petroleo,10,134,1.0,0.6,0.022388059701492536,0.04316546762589928,0.9609608467173291,0.3,0.022388059701492536,0.041666666666666664,0.9635180672477864
q038,¿Qué impacto tuvo los precios negativos del petróleo durante el COVID-19 sobre el sector energético?,XLE,Sector Energía,caidas covid petroleo negativo,10,177,1.0,1.0,0.02824858757062147,0.054945054945054944,1.0,1.0,0.05649717514124294,0.10695187165775402,1.0
q039,¿Cuál fue la reacción de el sector energético ante el miedo a una recesión económica global?,XLE,Sector Energía,caidas miedo recesion,10,156,0.5,0.6,0.019230769230769232,0.037267080745341616,0.5990201364807519,0.3,0.019230769230769232,0.03614457831325302,0.6787166219646679
q040,Explícame la relación entre el equilibrio entre oferta y demanda de energía y el comportamiento de el sector energético.,XLE,Sector Energía,lateralizacion equilibrio oferta demanda,10,77,0.25,0.2,0.012987012987012988,0.024390243902439025,0.7077181688535585,0.2,0.025974025974025976,0.04597701149425288,0.8519730834599447
q041,¿Cómo afectó la estabilización de los recortes de producción de la OPEP a el sector energético?,XLE,Sector Energía,lateralizacion opep estabilizada,10,105,1.0,0.8,0.0380952380952381,0.07272727272727274,0.9513105500524313,0.5,0.047619047619047616,0.08695652173913042,0.9878557582587095
q042,¿Qué impacto tuvo la estabilidad del precio del petróleo sobre el sector energético?,XLE,Sector Energía,lateralizacion petroleo estable,10,137,0.0,0.0,0.0,0.0,0.36005461457723403,0.0,0.0,0.0,0.7084653751049538
q043,¿Cuál fue la reacción de el sector energético ante la subida del precio de la energía por la guerra de Ucrania?,XLE,Sector Energía,subidas recuperacion guerra ucrania,10,174,1.0,0.6,0.017241379310344827,0.0335195530726257,0.6992148198508502,0.5,0.028735632183908046,0.05434782608695652,0.8993515008051188
q044,Explícame la relación entre el superciclo de las materias primas y el comportamiento de el sector energético.,XLE,Sector Energía,subidas superciclo commodities,10,102,1.0,1.0,0.049019607843137254,0.09345794392523364,1.0,0.9,0.08823529411764706,0.16071428571428573,0.9991031692211777
q045,¿Cómo afectó las tensiones geopolíticas en Oriente Medio a el sector energético?,XLE,Sector Energía,subidas tensiones oriente medio,10,124,1.0,1.0,0.04032258064516129,0.07751937984496124,1.0,0.9,0.07258064516129033,0.13432835820895522,0.9937947856332162
q046,¿Qué impacto tuvo la escasez de chips y el colapso de la cadena de suministro por el COVID-19 sobre el sector de semiconductores?,SMH,Sector Semiconductores,caidas covid shock supply chain,10,189,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
q047,¿Cuál fue la reacción de el sector de semiconductores ante la guerra comercial entre EE.UU. y China sobre semiconductores?,SMH,Sector Semiconductores,caidas guerra comercial eeuu-china,10,123,0.5,0.4,0.016260162601626018,0.03125000000000001,0.8613392787248072,0.3,0.024390243902439025,0.045112781954887216,0.9276061961947057
q048,Explícame la relación entre la subida de tipos de interés sobre las tecnológicas y semiconductores y el comportamiento de el sector de semiconductores.,SMH,Sector Semiconductores,caidas subidas tipos,10,312,0.5,0.2,0.003205128205128205,0.006309148264984227,0.631540698262832,0.2,0.00641025641025641,0.012422360248447204,0.8411795823706534
q049,¿Cómo afectó la consolidación del sector tras el boom de la inteligencia artificial a el sector de semiconductores?,SMH,Sector Semiconductores,lateralizacion consolidacion ia,10,236,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
q050,¿Qué impacto tuvo la espera de recuperación de la demanda de chips sobre el sector de semiconductores?,SMH,Sector Semiconductores,lateralizacion espera demanda chips,10,104,0.25,0.2,0.009615384615384616,0.01834862385321101,0.8405582582325805,0.2,0.019230769230769232,0.03508771929824562,0.9174487478283277
q051,¿Cuál fue la reacción de el sector de semiconductores ante las negociaciones comerciales entre EE.UU. y China?,SMH,Sector Semiconductores,lateralizacion negociaciones eeuu-china,10,119,1.0,1.0,0.04201680672268908,0.08064516129032258,1.0,0.8,0.06722689075630252,0.12403100775193798,0.9988930800939724
q052,Explícame la relación entre el boom de la inteligencia artificial generativa y el comportamiento de el sector de semiconductores.,SMH,Sector Semiconductores,subidas boom ia generativa,10,236,1.0,0.4,0.00847457627118644,0.016597510373443983,0.8899717613116096,0.4,0.01694915254237288,0.032520325203252036,0.9644660630149746
q053,¿Cómo afectó la digitalización acelerada durante el COVID-19 a el sector de semiconductores?,SMH,Sector Semiconductores,subidas digitalizacion covid,10,82,1.0,1.0,0.06097560975609756,0.11494252873563218,1.0,0.7,0.08536585365853659,0.15217391304347827,0.9947236356373705
q054,¿Qué impacto tuvo la recuperación del sector tecnológico tras la crisis financiera sobre el sector de semiconductores?,SMH,Sector Semiconductores,subidas recuperacion tecnologica,10,107,1.0,0.6,0.028037383177570093,0.053571428571428575,0.907575524214984,0.5,0.04672897196261682,0.08547008547008547,0.9893657914022912
q055,¿Cuál fue la reacción de el sector turístico y las aerolíneas ante los atentados del 11-S y el colapso del tráfico aéreo?,JETS,Sector Turismo/Aerolíneas,caidas 11-s colapso trafico aereo,10,64,1.0,0.6,0.046875,0.08695652173913043,0.907575524214984,0.6,0.09375,0.16216216216216214,0.9863836279089951
q056,Explícame la relación entre el cierre de fronteras por el COVID-19 y el comportamiento de el sector turístico y las aerolíneas.,JETS,Sector Turismo/Aerolíneas,caidas covid cierre fronteras,10,151,1.0,1.0,0.033112582781456956,0.06410256410256411,1.0,0.8,0.052980132450331126,0.09937888198757763,0.9979755467927643
q057,¿Cómo afectó el cierre del espacio aéreo por la guerra de Ucrania a el sector turístico y las aerolíneas?,JETS,Sector Turismo/Aerolíneas,caidas guerra ucrania cierre espacio aereo,10,66,1.0,1.0,0.07575757575757576,0.14084507042253522,1.0,1.0,0.15151515151515152,0.2631578947368421,1.0
q058,¿Qué impacto tuvo la espera de decisiones macroeconómicas sobre tipos de interés sobre el sector turístico y las aerolíneas?,JETS,Sector Turismo/Aerolíneas,lateralizacion espera macro tipos,10,247,0.0,0.0,0.0,0.0,0.6608397947263839,0.0,0.0,0.0,0.8120032421377507
q059,¿Cuál fue la reacción de el sector turístico y las aerolíneas ante la estabilidad del precio del petróleo sobre los costes del sector?,JETS,Sector Turismo/Aerolíneas,lateralizacion estabilidad petroleo,10,100,1.0,0.4,0.02,0.03809523809523809,0.6802773158903762,0.4,0.04,0.07272727272727272,0.9087129790568507
q060,Explícame la relación entre la aparición de nuevas variantes del COVID-19 y el comportamiento de el sector turístico y las aerolíneas.,JETS,Sector Turismo/Aerolíneas,lateralizacion variantes covid,10,120,1.0,1.0,0.041666666666666664,0.07999999999999999,1.0,1.0,0.08333333333333333,0.15384615384615385,1.0
q061,¿Cómo afectó la recuperación del sector tras el SARS y el 11-S a el sector turístico y las aerolíneas?,JETS,Sector Turismo/Aerolíneas,subidas recuperacion post sars 11s,10,55,1.0,0.4,0.03636363636363636,0.06666666666666667,0.8899717613116096,0.4,0.07272727272727272,0.12307692307692307,0.9792993621289764
q062,¿Qué impacto tuvo la recuperación global del turismo sobre el sector turístico y las aerolíneas?,JETS,Sector Turismo/Aerolíneas,subidas recuperacion turismo global,10,138,1.0,0.6,0.021739130434782608,0.04195804195804196,0.9254090060404281,0.4,0.028985507246376812,0.05405405405405405,0.9716793247112986
q063,¿Cuál fue la reacción de el sector turístico y las aerolíneas ante la llegada de las vacunas contra el COVID-19 y la reapertura de fronteras?,JETS,Sector Turismo/Aerolíneas,subidas vacunas reapertura,10,93,1.0,1.0,0.053763440860215055,0.10204081632653061,1.0,0.9,0.0967741935483871,0.17475728155339806,1.0
